6,5 
9,3 
8,0 
1,10 
6,2 
0,9 
2,10 
2,8 
4,10 
8,9 
10,3 
5,0 
10,4 
8,0 
5,5 
10,9 
3,7 
7,3 
1,0 
8,10 
9,4 
2,0 
2,10 
4,4 
6,5 
8,9 
10,7 
0,8 
8,2 
6,7 
1,1 
0,10 
7,3 
3,1 
1,5 
4,3 
1,9 
1,6 
5,1 
4,6 
8,1 
2,7 
0,6 
8,7 
5,2 
4,5 
2,2 
4,1 
3,3 
1,7 
10,8 
7,7 
0,7 
3,7 
8,5 
5,9 
0,0 
3,1 
3,0 
0,4 
9,8 
7,4 
6,8 
8,4 
9,5 
0,5 
5,10 
9,0 
4,6 
10,4 
4,1 
10,9 
8,7 
5,0 
3,8 
10,6 
2,3 
8,2 
6,9 
9,10 
4,10 
2,7 
4,2 
3,6 
6,3 
0,0 
0,7 
8,3 
3,4 
9,2 
1,5 
9,3 
1,7 
7,2 
0,9 
10,8 
10,6 
10,10 
8,0 
10,7 
