8,10 
3,9 
0,10 
10,6 
3,3 
6,10 
5,2 
0,4 
2,3 
6,10 
1,0 
2,3 
9,5 
8,2 
3,0 
7,7 
7,10 
2,7 
2,8 
1,1 
5,8 
8,8 
5,6 
9,6 
0,3 
9,7 
6,1 
6,9 
5,7 
8,4 
8,1 
6,5 
6,4 
2,5 
3,3 
2,0 
3,9 
6,10 
7,0 
4,9 
5,4 
6,10 
7,2 
5,7 
6,9 
3,2 
6,6 
10,10 
1,9 
0,3 
7,6 
5,0 
1,10 
3,4 
9,2 
5,4 
2,4 
5,10 
3,5 
0,2 
0,3 
5,2 
4,8 
6,7 
8,3 
5,4 
6,9 
3,6 
3,8 
2,1 
4,5 
4,2 
7,10 
4,4 
9,9 
0,10 
0,1 
8,1 
4,10 
4,0 
9,9 
7,0 
6,8 
9,4 
1,7 
4,9 
2,1 
8,2 
5,0 
1,5 
7,1 
10,0 
1,8 
8,9 
6,9 
0,4 
3,9 
7,5 
0,4 
3,1 
