8,3 
5,6 
9,2 
1,0 
7,0 
9,2 
8,7 
10,10 
2,10 
0,2 
8,3 
1,0 
8,3 
0,3 
3,8 
7,1 
4,5 
0,8 
7,10 
5,10 
5,7 
10,4 
10,8 
3,1 
4,10 
8,4 
8,0 
7,2 
7,10 
3,3 
10,8 
1,9 
9,2 
1,5 
5,5 
2,10 
3,7 
5,2 
0,2 
9,3 
4,0 
1,4 
10,6 
4,5 
9,3 
7,7 
5,6 
8,6 
10,4 
10,7 
3,8 
8,2 
6,5 
10,10 
7,6 
2,2 
8,7 
6,7 
9,1 
3,9 
8,4 
1,0 
2,3 
6,6 
6,10 
1,6 
6,2 
4,0 
3,2 
1,0 
10,2 
2,0 
1,1 
3,1 
4,9 
2,1 
5,7 
9,6 
1,9 
10,7 
2,8 
8,10 
0,1 
1,0 
1,7 
1,1 
7,1 
8,2 
0,10 
1,6 
0,10 
5,10 
3,5 
2,3 
3,2 
6,8 
7,6 
5,10 
0,2 
5,5 
