8,2 
5,5 
5,0 
10,2 
9,2 
6,3 
8,10 
10,10 
2,5 
10,0 
0,3 
6,9 
3,10 
9,10 
8,3 
9,10 
3,6 
4,9 
5,5 
6,7 
1,9 
8,4 
7,3 
2,5 
5,5 
9,7 
1,0 
6,1 
10,9 
6,3 
5,8 
8,4 
8,5 
8,10 
0,0 
5,3 
9,1 
5,2 
5,6 
10,9 
7,0 
7,2 
4,3 
5,2 
3,7 
7,0 
2,6 
0,3 
0,9 
7,5 
5,10 
0,10 
4,2 
9,10 
9,1 
10,4 
4,5 
4,9 
9,1 
8,10 
0,5 
6,5 
8,10 
4,5 
8,2 
0,3 
4,7 
3,1 
2,6 
5,0 
8,2 
0,3 
2,10 
9,3 
7,2 
10,2 
7,7 
5,0 
3,6 
4,4 
9,5 
8,10 
6,4 
8,0 
1,8 
8,10 
1,10 
6,4 
7,5 
5,10 
8,5 
0,10 
2,10 
0,10 
1,1 
9,1 
3,2 
9,4 
0,7 
6,2 
